IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.103.137,1,1,0.00,48.65,20.91
104.17.195.103,1,1,0.00,49.83,20.70
104.17.140.110,1,1,0.00,49.77,20.37
104.17.103.15,1,1,0.00,49.80,20.22
104.17.140.117,1,1,0.00,49.13,19.94
